,rangoAutovalores,pasos,iters,tiempo
338,44430.80793075602,0.99,2058,0.034104108810424805
339,44235.6972749866,0.99,521,0.014741659164428711
340,46225.36643657666,0.99,715,0.01179051399230957
341,43300.752663192725,0.99,1385,0.022737503051757812
342,51779.40865533454,0.99,430,0.007052183151245117
343,48617.3100197145,0.99,1302,0.021464824676513672
344,43795.82812082818,0.99,485,0.007955551147460938
345,56007.08648827573,0.99,1522,0.02500176429748535
346,63375.48297169563,0.99,661,0.018021583557128906
347,60020.05025725486,0.99,664,0.010937213897705078
348,55493.78230711984,0.99,18511,0.5897629261016846
349,65691.75405908842,0.99,3692,0.06310248374938965
350,70651.57771927558,0.99,4829,0.09368896484375
351,68720.84797851573,0.99,2668,0.0524294376373291
352,89196.90706656872,0.99,761,0.013116121292114258
353,79303.0433598429,0.99,690,0.011379003524780273
354,63349.11791913951,0.99,1124,0.018393516540527344
355,81263.30013437448,0.99,890,0.014446735382080078
356,78197.41573625033,0.99,2289,0.03749823570251465
357,75342.32508211334,0.99,608,0.010788202285766602
358,97759.56200277428,0.99,3492,0.06368660926818848
359,93491.66435369175,0.99,923,0.015104532241821289
360,82757.73824998751,0.99,870,0.01433420181274414
361,100222.89322979488,0.99,576,0.009502649307250977
362,94324.77363040773,0.99,529,0.008762836456298828
363,114779.97945419914,0.99,511,0.008425235748291016
364,123855.97005796654,0.99,1029,0.01723790168762207
365,112881.37768309392,0.99,609,0.011029720306396484
366,101807.21241214182,0.99,704,0.01163625717163086
367,119184.15891764652,0.99,1179,0.01966118812561035
368,120823.88937780198,0.99,1453,0.024334430694580078
369,103765.01338364932,0.99,330,0.00549006462097168
370,120845.29258845268,0.99,2457,0.04163861274719238
371,160969.831277606,0.99,496,0.008843421936035156
372,152176.41098457723,0.99,957,0.015839576721191406
373,142301.88553298527,0.99,6409,0.10731363296508789
374,148110.64418963238,0.99,880,0.015689611434936523
375,148112.2485348474,0.99,1614,0.026576757431030273
376,158142.71136584843,0.99,636,0.02042555809020996
377,177328.1846003543,0.99,1971,0.07584118843078613
378,155587.11073547354,0.99,92892,2.2342638969421387
379,144442.71623412424,0.99,1449,0.052544355392456055
380,149376.98800776032,0.99,6117,0.20907974243164062
381,170418.35140165203,0.99,2631,0.04740190505981445
382,150730.83413742695,0.99,5063,0.08337855339050293
383,169217.22667594525,0.99,3128,0.051613569259643555
384,163505.22215288918,0.99,696,0.013462305068969727
